=== Magic Number Search Results for [[9, 21, 37, 43, 44, 4, 5, 6, 8, 1, 2, 3]] ===
Started at: Sat Jun 21 00:52:28 EDT 2025

=== Magic Number Search Results for [[9, 21, 37, 43, 44, 4, 5, 6, 8, 1, 2, 3]] ===
Started at: Sat Jun 21 00:52:28 EDT 2025

PROGRESS: [21][Rook] 897 / 1024, Attempt 290000000
PROGRESS: [9][Rook] 928 / 1024, Attempt 460000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 300000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 310000000
PROGRESS: [9][Rook] 928 / 1024, Attempt 470000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 320000000
PROGRESS: [9][Rook] 928 / 1024, Attempt 480000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 330000000
PROGRESS: [9][Rook] 928 / 1024, Attempt 490000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 340000000
PROGRESS: [21][Rook] 189 / 1024, Attempt 0
PROGRESS: [21][Rook] 897 / 1024, Attempt 350000000
PROGRESS: [21][Rook] 588 / 1024, Attempt 10000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 360000000
PROGRESS: [21][Rook] 641 / 1024, Attempt 20000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 370000000
PROGRESS: [21][Rook] 768 / 1024, Attempt 30000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 380000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 40000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 390000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 50000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 400000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 60000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 410000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 70000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 420000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 80000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 430000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 90000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 440000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 100000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 450000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 110000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 460000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 120000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 470000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 130000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 480000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 140000000
PROGRESS: [21][Rook] 897 / 1024, Attempt 490000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 150000000
PROGRESS: [37][Rook] 258 / 1024, Attempt 0
PROGRESS: [21][Rook] 769 / 1024, Attempt 160000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 10000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 170000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 20000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 180000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 30000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 190000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 40000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 200000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 50000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 210000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 60000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 220000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 70000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 230000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 80000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 240000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 90000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 250000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 100000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 260000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 110000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 270000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 120000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 280000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 130000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 290000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 140000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 150000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 300000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 160000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 310000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 170000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 320000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 180000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 330000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 190000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 340000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 200000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 350000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 210000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 360000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 220000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 370000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 230000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 380000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 240000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 390000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 250000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 400000000
PROGRESS: [37][Rook] 645 / 1024, Attempt 260000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 410000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 270000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 420000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 280000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 430000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 290000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 440000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 300000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 450000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 310000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 460000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 320000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 470000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 330000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 480000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 340000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 490000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 350000000
PROGRESS: [37][Rook] 150 / 1024, Attempt 0
PROGRESS: [37][Rook] 768 / 1024, Attempt 360000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 10000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 370000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 20000000
PROGRESS: [37][Rook] 770 / 1024, Attempt 380000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 30000000
PROGRESS: [37][Rook] 770 / 1024, Attempt 390000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 40000000
PROGRESS: [37][Rook] 770 / 1024, Attempt 400000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 50000000
PROGRESS: [37][Rook] 770 / 1024, Attempt 410000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 60000000
PROGRESS: [37][Rook] 770 / 1024, Attempt 420000000
PROGRESS: [37][Rook] 644 / 1024, Attempt 70000000
PROGRESS: [37][Rook] 770 / 1024, Attempt 430000000
PROGRESS: [37][Rook] 728 / 1024, Attempt 80000000
PROGRESS: [37][Rook] 770 / 1024, Attempt 440000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 90000000
PROGRESS: [37][Rook] 770 / 1024, Attempt 450000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 100000000
PROGRESS: [37][Rook] 770 / 1024, Attempt 460000000
PROGRESS: [37][Rook] 768 / 1024, Attempt 110000000
PROGRESS: [37][Rook] 770 / 1024, Attempt 470000000
